"first_name","last_name","hire_date"
"Domenico","Debuse","1/1/1986"
"Yongqiao","Reinhard","1/1/1986"
"Tran","Herath","1/1/1986"
"Sachar","Undy","1/1/1986"
"Constantino","Brookman","1/1/1986"
"Shahid","Baaz","1/1/1986"
"Zita","Shobatake","1/1/1986"
"Shao","Reinhart","1/1/1986"
"Jiann","Bondorf","1/1/1986"
"Stein","Thiran","1/1/1986"
"Boriana","Vingron","1/1/1986"
"Nathalie","Speer","1/1/1986"
"Ziyad","Bhattacharjee","1/1/1986"
"Takanari","Aamodt","1/1/1987"
"Sedat","Cappello","1/1/1987"
"Aiman","Heydon","1/1/1987"
"Sariel","Massonet","1/1/1987"
"Sukumar","Nyanchama","1/1/1987"
"Gaetan","Peron","1/1/1987"
"Flemming","Papastamatiou","1/1/1987"
"Houman","Polajnar","1/1/1987"
"Yongdong","Schnelling","1/1/1987"
"Hidefumi","Jeong","1/1/1987"
"Gita","Krychniak","1/1/1987"
"Gao","Hegner","1/1/1987"
"Nidapan","Rodham","1/1/1987"
"Percy","Barreiro","1/1/1987"
"Youjian","Rindone","1/1/1987"
"Bedrich","Steenbeek","1/1/1987"
"Aris","Hegner","1/1/1987"
"Jaroslava","Wossner","1/1/1987"
"Uriel","Heyers","1/1/1987"
"Fumiyo","Anily","1/1/1987"
"Bojan","Delgrange","1/1/1987"
"Masako","Gustavson","1/1/1987"
"Flemming","Parfitt","1/1/1987"
"Otmar","Percebois","1/1/1987"
"Alagu","Terlouw","1/1/1987"
"Valeri","Bednarek","1/1/1987"
"Lidong","Avouris","1/1/1987"
"Morris","Perng","1/1/1987"
"Jovan","Comte","1/1/1987"
"Subhada","Bernardeschi","1/1/1987"
"Arno","Baek","1/1/1987"
"Avishai","Stentiford","1/1/1987"
"Arunachalam","Picht","1/1/1987"
"Ranan","Radhakrishnan","1/1/1987"
"Lenore","Servieres","1/1/1987"
"Dinah","Penz","1/1/1987"
"Boguslaw","Ranta","1/1/1987"
"Kendra","Hennings","1/1/1987"
"Valter","Gaughan","1/1/1987"
"Hironoby","Setia","1/1/1987"
"Eldridge","Ghazalie","1/1/1987"
"Remzi","Bodoff","1/1/1987"
"Uwe","Sadowsky","1/1/1987"
"Sajjan","Randi","1/1/1987"
"Muzhong","Schrooten","1/1/1987"
"Masaki","Vilarrasa","1/1/1987"
"Ziya","Schwartzburd","1/1/1987"
"Mokhtar","Leslie","1/1/1987"
"Xiping","Trystram","1/1/1987"
"Jackson","Baik","1/1/1987"
"Guoxiang","Herath","1/1/1987"
"Ghassan","Wolniewicz","1/1/1987"
"Mary","Crabtree","1/1/1987"
"Filipp","Syang","1/1/1987"
"Serap","Percebois","1/1/1987"
"Shigeichiro","Brizzi","1/1/1987"
"Rimon","Zedlitz","1/1/1987"
"Khatoun","Srimani","1/1/1987"
"Shaw","Nilsson","1/1/1987"
"Iara","Hashii","1/1/1987"
"Fen","Leijenhorst","1/1/1987"
"Patricia","Shumilov","1/1/1987"
"Susanne","Stroustrup","1/1/1987"
"Hitofumi","Baja","1/1/1987"
"Arif","Lienhardt","1/1/1987"
"Chikako","Famili","1/1/1987"
"Xinan","Kabayashi","1/1/1987"
"Youpyo","Schurmann","1/1/1987"
"Urs","Matzat","1/1/1987"
"Fayez","Harllee","1/1/1987"
"Inderjeet","Matzen","1/1/1987"
"Etsuo","Perly","1/1/1987"
"Owen","Sridhar","1/1/1987"
"Subhrajyoti","Jansch","1/1/1987"
"Mats","Kilgore","1/1/1987"
"Kayoko","Kaltofen","1/1/1987"
"Moriyoshi","Asrin","1/1/1987"
"Sachio","Oberman","1/1/1987"
"Qiwen","Iacovou","1/1/1987"
"Arun","Norsworthy","1/1/1987"
"Basant","Pelz","1/1/1987"
"Ute","Mansanne","1/1/1987"
"Boriana","Schieder","1/1/1988"
"Elgin","Kropp","1/1/1988"
"Kwun","Pillow","1/1/1988"
"Mariangiola","Lally","1/1/1988"
"Dinah","Noriega","1/1/1988"
"Barton","Lindenbaum","1/1/1988"
"Rosli","Gustavson","1/1/1988"
"Gita","Lorie","1/1/1988"
"Ramalingam","Senzako","1/1/1988"
"Odysseas","Hambrick","1/1/1988"
"Sandeepan","Famili","1/1/1988"
"Navid","Rattan","1/1/1988"
"Heng","Siksek","1/1/1988"
"Reinhard","Rijsenbrij","1/1/1988"
"Persi","Pocchiola","1/1/1988"
"Rasikan","Fritzsche","1/1/1988"
"Yurij","Farris","1/1/1988"
"Eishiro","Oskamp","1/1/1988"
"Kwangyoen","Dahlbom","1/1/1988"
"Jixiang","Meszaros","1/1/1988"
"Giri","Mansanne","1/1/1988"
"Bikash","Guenter","1/1/1988"
"Uta","Brandsma","1/1/1988"
"Remzi","Hemaspaandra","1/1/1988"
"Radhakrishnan","Coombs","1/1/1988"
"Hugo","Nitsch","1/1/1988"
"Boalin","Flexer","1/1/1988"
"Shin","Lally","1/1/1988"
"Debatosh","Piveteau","1/1/1988"
"Ronnie","Raczkowsky","1/1/1988"
"Greger","Fontan","1/1/1988"
"Youjian","Luby","1/1/1988"
"Hironoby","Furudate","1/1/1988"
"Filipp","Makinen","1/1/1988"
"Masami","Guting","1/1/1988"
"Nectarios","Mamelak","1/1/1988"
"Mads","Verspoor","1/1/1988"
"Hironobu","Hegner","1/1/1988"
"Sham","Gajiwala","1/1/1988"
"Sorina","Klyachko","1/1/1988"
"Marin","Garrabrants","1/1/1988"
"Sanjit","Debuse","1/1/1988"
"Saeed","Sullins","1/1/1988"
"Heather","Borovoy","1/1/1988"
"Candida","Bellmore","1/1/1988"
"Kokou","Albarhamtoshy","1/1/1988"
"Radhika","Spell","1/1/1988"
"Nirmal","Daescu","1/1/1988"
"Gurbir","Crelier","1/1/1988"
"Yinlin","Suomi","1/1/1988"
"Naraig","Kisuki","1/1/1988"
"Tzvetan","Gilg","1/1/1988"
"Huan","Cichocki","1/1/1988"
"Vishu","Taubman","1/1/1988"
"Jenwei","Benzaken","1/1/1988"
"Jackson","Jahnichen","1/1/1988"
"Ayonca","Boguraev","1/1/1988"
"Krassimir","Monarch","1/1/1988"
"Sedat","Itzigehl","1/1/1988"
"Jiafu","Isaak","1/1/1988"
"Pranay","Raczkowsky","1/1/1988"
"Moie","Zhiwei","1/1/1988"
"Udaiprakash","Rajaraman","1/1/1988"
"Masaru","Atrawala","1/1/1988"
"Mohd","Werthner","1/1/1988"
"Arup","Gerteisen","1/1/1988"
"Insup","Luks","1/1/1988"
"Ulises","Grabner","1/1/1988"
"Kokou","Neimat","1/1/1988"
"Holgard","Jeansoulin","1/1/1988"
"Zongyan","Litzkow","1/1/1988"
"Shim","Cheshire","1/1/1988"
"Ayakannu","Minakawa","1/1/1988"
"Shigeu","Genther","1/1/1988"
"Charlene","Piazza","1/1/1988"
"Piyush","Siepmann","1/1/1988"
"Udo","Ranst","1/1/1988"
"Douadi","Zolotykh","1/1/1988"
"Sanjay","Brandsma","1/1/1988"
"Seshu","Kadhim","1/1/1988"
"Lihong","Ghandeharizadeh","1/1/1988"
"Weijing","Brobst","1/1/1988"
"Sergi","Sichman","1/1/1988"
"Francoise","Godskesen","1/1/1988"
"Tsvetan","Khalil","1/1/1988"
"Nathan","Goldhammer","1/1/1988"
"Iara","Tetzlaff","1/1/1988"
"Xianlong","Openshaw","1/1/1988"
"Zeydy","Stanfel","1/1/1988"
"Anwar","Chorvat","1/1/1988"
"Heng","Reeken","1/1/1988"
"Olivera","Strehl","1/1/1988"
"Suzette","Braunmuhl","1/1/1988"
"Shaowen","Tetzlaff","1/1/1988"
"Dipankar","Erva","1/1/1988"
"Brewster","Matheson","1/1/1988"
"Ipke","Whittlesey","1/1/1989"
"Lidong","Millington","1/1/1989"
"Wonhee","Byoun","1/1/1989"
"Arun","Norsworthy","1/1/1989"
"Temple","Kirkerud","1/1/1989"
"Sigeru","Sinicrope","1/1/1989"
"Angel","Paludetto","1/1/1989"
"Alair","Kugler","1/1/1989"
"Hisao","Stanger","1/1/1989"
"Yunming","Zockler","1/1/1989"
"Godehard","Demeyer","1/1/1989"
"Gil","Lunt","1/1/1989"
"Freyja","Docker","1/1/1989"
"Hidefumi","Gente","1/1/1989"
"Remko","Ohori","1/1/1989"
"Mansur","Coorg","1/1/1989"
"Pranay","Genther","1/1/1989"
"Peternela","Stamatiou","1/1/1989"
"Lucian","Nyanchama","1/1/1989"
"Jackson","Strandh","1/1/1989"
"Shietung","Ranum","1/1/1989"
"Shahab","Bugaenko","1/1/1989"
"Xinyu","Lanteri","1/1/1989"
"Zejun","Ghazalie","1/1/1989"
"Xiaopeng","Joslin","1/1/1989"
"Heather","Constantine","1/1/1989"
"Kasidit","Nitsche","1/1/1989"
"King","Minakawa","1/1/1989"
"Mary","Delaune","1/1/1989"
"Feixiong","Rosin","1/1/1989"
"Alenka","Zirintsis","1/1/1989"
"Aleksander","Birdsall","1/1/1989"
"Maris","Zumaque","1/1/1989"
"Gina","Junet","1/1/1989"
"Yefim","Litzkow","1/1/1989"
"Ronghao","Birsak","1/1/1989"
"Khalil","Marwedel","1/1/1989"
"Mingzeng","Thisen","1/1/1989"
"Moto","Srimani","1/1/1989"
"Akemi","Gerteisen","1/1/1989"
"Chriss","Cullers","1/1/1989"
"Ferdinand","Gimbel","1/1/1989"
"Xinyu","Ramsak","1/1/1989"
"Guenter","Terlouw","1/1/1989"
"Jeanna","Chinen","1/1/1989"
"Adam","Lindenbaum","1/1/1989"
"Mechthild","Chleq","1/1/1989"
"Masasuke","Jakobus","1/1/1989"
"Abdelkader","Ghazalie","1/1/1989"
"Kiam","Schaar","1/1/1989"
"Mohua","Siegrist","1/1/1989"
"Poorav","McAffer","1/1/1989"
"Alexius","Cmelik","1/1/1989"
"Jayesh","Wolniewicz","1/1/1989"
"Jeanna","Montresor","1/1/1989"
"Garnet","Masamoto","1/1/1989"
"Bedir","Malabarba","1/1/1989"
"Percy","Hofmeyr","1/1/1989"
"Zeydy","Hooghiemstra","1/1/1989"
"Yefim","Peltason","1/1/1989"
"Amabile","Albarhamtoshy","1/1/1989"
"Rosli","Kroll","1/1/1989"
"Huei","Sewelson","1/1/1989"
"Pasqua","Itschner","1/1/1989"
"Shigeu","Butner","1/1/1989"
"Marco","Ramsak","1/1/1989"
"Mana","Olano","1/1/1989"
"Hitomi","Bratsberg","1/1/1989"
"Zejun","Paciorek","1/1/1989"
"Make","Wegerle","1/1/1989"
"Marjo","Krohm","1/1/1989"
"Yannik","Kavvadias","1/1/1989"
"Giri","Ullian","1/1/1989"
"Filipe","Mungall","1/1/1989"
"Tooru","Zweizig","1/1/1989"
"Navid","Brendel","1/1/1990"
"Tomofumi","Rattan","1/1/1990"
"Nahum","Schiettecatte","1/1/1990"
"Sadegh","Honglei","1/1/1990"
"Rance","Legleitner","1/1/1990"
"Sanjai","Heuser","1/1/1990"
"Berni","Kandlur","1/1/1990"
"Souichi","Parfitt","1/1/1990"
"Khatoun","Sankaranarayanan","1/1/1990"
"Zhanqiu","Piveteau","1/1/1990"
"Kristinn","Grandbois","1/1/1990"
"Teruyuki","Sridhar","1/1/1990"
"Alselm","Schlumberger","1/1/1990"
"Florian","Veldwijk","1/1/1990"
"Shim","Ozeki","1/1/1990"
"Hitofumi","Falby","1/1/1990"
"Moty","Pauthner","1/1/1990"
"Byong","Laurillard","1/1/1990"
"Uwe","Baezner","1/1/1990"
"Hugo","Uchoa","1/1/1990"
"Alselm","Cappello","1/1/1990"
"Yongdong","Msuda","1/1/1990"
"Sreekrishna","Rodier","1/1/1990"
"Vincent","Cronau","1/1/1990"
"Rafols","Melski","1/1/1990"
"Barton","Mitchem","1/1/1990"
"Susumu","Marsiglia","1/1/1990"
"Remzi","Demizu","1/1/1990"
"Insup","Rosar","1/1/1990"
"Chikako","Goldhammer","1/1/1990"
"Horward","Deville","1/1/1990"
"Breannda","Polajnar","1/1/1990"
"Bluma","Carrere","1/1/1990"
"Sashi","Demeyer","1/1/1990"
"Yishai","Parhami","1/1/1990"
"Jeanna","Braccini","1/1/1990"
"Martine","Gopalakrishnan","1/1/1990"
"Arne","Azuma","1/1/1990"
"Aiman","Hainaut","1/1/1990"
"Chrisa","Versino","1/1/1990"
"Masato","Peac","1/1/1990"
"Sven","Selenyi","1/1/1990"
"Kyoichi","Mawatari","1/1/1990"
"Vivian","Horswill","1/1/1990"
"Toshiko","Perly","1/1/1990"
"Rosine","Encarnacion","1/1/1990"
"Lillian","Stiles","1/1/1990"
"Vishu","Siochi","1/1/1990"
"Przemyslawa","Farrow","1/1/1990"
"Mohit","Hiroyama","1/1/1990"
"Geraldo","Swist","1/1/1990"
"Paraskevi","Rajcani","1/1/1990"
"Billur","Gulla","1/1/1990"
"Roddy","Dayana","1/1/1990"
"Anoosh","Passino","1/1/1990"
"Tommaso","Binkley","1/1/1990"
"Zeljko","Solovay","1/1/1990"
"Kshitij","Falco","1/1/1990"
"Jahangir","Koshino","1/1/1990"
"Kankanahalli","Gronowski","1/1/1990"
"Dipayan","Frolund","1/1/1990"
"Hercules","Legleitner","1/1/1990"
"Mahmut","Huxford","1/1/1990"
"Zine","Pardalos","1/1/1990"
"Gianluca","Wallrath","1/1/1990"
"Miyeon","Asrin","1/1/1991"
"Martial","Ratnaker","1/1/1991"
"Mari","Quadeer","1/1/1991"
"Shay","Anily","1/1/1991"
"Kagan","Lodder","1/1/1991"
"Toshiki","Mahnke","1/1/1991"
"Jeanne","Ranum","1/1/1991"
"Constantijn","Bodoff","1/1/1991"
"Arra","Velasco","1/1/1991"
"DeForest","Journel","1/1/1991"
"Pradeep","Koshino","1/1/1991"
"Mountaz","Rodiger","1/1/1991"
"Harjit","Sambasivam","1/1/1991"
"Gladys","Sinitsyn","1/1/1991"
"Felicidad","Azumi","1/1/1991"
"Gay","Trelles","1/1/1991"
"Deniz","Worfolk","1/1/1991"
"Takanari","Munawer","1/1/1991"
"Dekang","Luke","1/1/1991"
"Nobuyoshi","Cappelli","1/1/1991"
"Piyush","Hertweck","1/1/1991"
"Shaowei","Kusalik","1/1/1991"
"Denny","Schaaf","1/1/1991"
"Augustine","Gill","1/1/1991"
"Rajmohan","Zweizig","1/1/1991"
"Sudhanshu","Rikino","1/1/1991"
"Sreenivas","Suwa","1/1/1991"
"Basant","Antonisse","1/1/1991"
"Ung","Speel","1/1/1991"
"Shmuel","Smailagic","1/1/1991"
"Clyde","Geffroy","1/1/1991"
"Kazuyasu","Danecki","1/1/1991"
"Sudharsan","Buchter","1/1/1991"
"Sahrah","Stanger","1/1/1991"
"Stevo","Ghandeharizadeh","1/1/1991"
"Genki","Suppi","1/1/1991"
"Pohua","Shumilov","1/1/1991"
"Mingdong","Siprelle","1/1/1991"
"Siamak","Viele","1/1/1991"
"Gopalakrishnan","Lowrie","1/1/1991"
"Gilbert","Itzfeldt","1/1/1991"
"Saddek","Vuskovic","1/1/1991"
"Lijia","Raoux","1/1/1991"
"Lein","Mandell","1/1/1991"
"Kasidit","Ravishankar","1/1/1991"
"Nigel","Muhling","1/1/1991"
"Lobel","Cannane","1/1/1991"
"Minghong","Ohori","1/1/1991"
"Yannis","Rajcani","1/1/1991"
"Toshiki","Attimonelli","1/1/1991"
"Zhaofang","Falster","1/1/1991"
"Brewster","Narahari","1/1/1991"
"Bikash","Veldwijk","1/1/1991"
"Brendon","Mamelak","1/1/1991"
"Pranav","Laventhal","1/1/1991"
"Rildo","Lipner","1/1/1991"
"Hatsukazu","Strehl","1/1/1991"
"Dines","Karunanithi","1/1/1991"
"Saeed","Ferretti","1/1/1991"
"Georgi","Panangaden","1/1/1991"
"Vidya","Terlouw","1/1/1991"
"Shushma","Shumilov","1/1/1991"
"Dharmaraja","Lukaszewicz","1/1/1991"
"Gao","Heping","1/1/1992"
"JoAnne","Jiafu","1/1/1992"
"Tse","Luce","1/1/1992"
"Youpyo","Diderrich","1/1/1992"
"Gopalakrishnan","Oaver","1/1/1992"
"Remco","Cyne","1/1/1992"
"Ranan","Kusakabe","1/1/1992"
"Wilmer","Birch","1/1/1992"
"Sanjiv","Erie","1/1/1992"
"Tomofumi","Camarinopoulos","1/1/1992"
"Fumitaka","Itzigehl","1/1/1992"
"Aria","Melichar","1/1/1992"
"Mostafa","Henseler","1/1/1992"
"Mostafa","Poulakidas","1/1/1992"
"Maren","Brodal","1/1/1992"
"Licheng","Rabejac","1/1/1992"
"Isamu","Malabarba","1/1/1992"
"Rosine","Fabrizio","1/1/1992"
"Valeri","Jarecki","1/1/1992"
"Terresa","Lamma","1/1/1992"
"Shakhar","Giveon","1/1/1992"
"Tetsurou","Ghazalie","1/1/1992"
"Irene","Garnham","1/1/1992"
"Somnath","Gaughan","1/1/1992"
"Gererd","Schnabel","1/1/1992"
"Yurij","Tempesti","1/1/1992"
"Yonghong","Marakhovsky","1/1/1992"
"Maria","Gils","1/1/1992"
"Shigeichiro","Manderick","1/1/1992"
"Jinya","Fadgyas","1/1/1992"
"Arco","Anger","1/1/1992"
"Yolla","Thambidurai","1/1/1992"
"Tremaine","Spieker","1/1/1992"
"Hsiangchu","Krone","1/1/1992"
"Boriana","Chachaty","1/1/1992"
"Demos","Huxford","1/1/1992"
"Younwoo","Etalle","1/1/1992"
"Tetsushi","Remmers","1/1/1992"
"Nimmagadda","Androutsos","1/1/1992"
"Berni","Erdmenger","1/1/1992"
"Sham","Fendler","1/1/1992"
"Cristinel","Aumann","1/1/1992"
"Barun","Benzmuller","1/1/1992"
"Pramod","Syrzycki","1/1/1992"
"Percy","Hettesheimer","1/1/1992"
"Ranan","Guardalben","1/1/1992"
"Karoline","Schlegelmilch","1/1/1992"
"Arup","Hartvigsen","1/1/1992"
"Susanne","Haumacher","1/1/1992"
"Shridhar","Ozeki","1/1/1992"
"Falguni","Farrar","1/1/1992"
"Avishai","Remmers","1/1/1992"
"Geoffry","Clemencon","1/1/1992"
"Marin","Schaaf","1/1/1992"
"Sangeeta","Leuchs","1/1/1992"
"Berhard","Krzyzanowski","1/1/1992"
"Kazunori","Schlegelmilch","1/1/1992"
"Vivian","Cappelletti","1/1/1992"
"Demos","Lorho","1/1/1992"
"Abdulah","Joslin","1/1/1992"
"Ziva","Valette","1/1/1992"
"Sibyl","Anido","1/1/1992"
"Moheb","Sadowski","1/1/1992"
"Ohad","Nastansky","1/1/1992"
"Renee","Pargas","1/1/1993"
"Mandell","Porotnikoff","1/1/1993"
"Luisa","Adachi","1/1/1993"
"Marla","Cooley","1/1/1993"
"Ronghao","Perin","1/1/1993"
"Valery","Cooke","1/1/1993"
"Xiping","Karunanithi","1/1/1993"
"Gilbert","Iwayama","1/1/1993"
"Niranjan","Trystram","1/1/1993"
"Guoxiang","Angelopoulos","1/1/1993"
"Shigehiro","Litzkow","1/1/1993"
"Carrsten","Setia","1/1/1993"
"Almudena","Picco","1/1/1993"
"Olivera","Baja","1/1/1993"
"Junichi","Litecky","1/1/1993"
"Erzsebet","Manders","1/1/1993"
"Karlis","Rousseau","1/1/1993"
"Moti","Shrader","1/1/1993"
"Khun","Gulla","1/1/1993"
"Nectarios","Dredge","1/1/1993"
"Sachio","Ouhyoung","1/1/1993"
"Geraldo","Cappello","1/1/1993"
"JiYoung","Erie","1/1/1993"
"Gunilla","Ginneken","1/1/1993"
"Marsal","Taubenfeld","1/1/1993"
"Masali","Denti","1/1/1993"
"Zvonko","Molenkamp","1/1/1993"
"Vishu","Garnham","1/1/1993"
"Siamak","Yurov","1/1/1993"
"Kensei","Mitzlaff","1/1/1993"
"Kwok","Azevdeo","1/1/1993"
"Abdelwaheb","Engelmann","1/1/1993"
"Ugo","Tasistro","1/1/1993"
"Yunming","Pellegrinelli","1/1/1993"
"Tadanori","Worfolk","1/1/1993"
"Alagu","Pollacia","1/1/1993"
"Caolyn","Hitomi","1/1/1993"
"Lansing","Orsini","1/1/1993"
"Patricio","Beeson","1/1/1993"
"Jahangir","Genther","1/1/1993"
"Mohan","Nilsson","1/1/1993"
"Shaz","Benzaken","1/1/1993"
"Ronghao","Sidou","1/1/1993"
"Bezalel","Stanfel","1/1/1993"
"Elvia","Papadias","1/1/1993"
"Chiranjit","Denti","1/1/1993"
"Yunming","Cronan","1/1/1993"
"Sungwon","Poujol","1/1/1993"
"Jaques","Prenel","1/1/1993"
"Ranan","Codenie","1/1/1993"
"Rosella","Seghrouchni","1/1/1993"
"Joydip","Leaver","1/1/1993"
"Sugwoo","Standera","1/1/1993"
"Susuma","Gulik","1/1/1993"
"Zhonghui","McFarlan","1/1/1993"
"Vasilii","Pleszkun","1/1/1993"
"Filipp","Rassart","1/1/1993"
"Samphel","Siegrist","1/1/1993"
"Yaghout","Czap","1/1/1993"
"Aris","Lundstrom","1/1/1993"
"Radhia","Skafidas","1/1/1994"
"Dannz","Krzyzanowski","1/1/1994"
"Prodip","Pardalos","1/1/1994"
"Supot","Bauknecht","1/1/1994"
"Rutger","Kavanagh","1/1/1994"
"Neven","Ferretti","1/1/1994"
"Kristian","Ghandeharizadeh","1/1/1994"
"Sachar","Anily","1/1/1994"
"Baocai","Underwood","1/1/1994"
"Flemming","Bahk","1/1/1994"
"Shaibal","Kranzdorf","1/1/1994"
"Moon","Papastamatiou","1/1/1994"
"Jaber","Rosca","1/1/1994"
"Abdelkader","Tokunaga","1/1/1994"
"Premal","Baaz","1/1/1994"
"Maya","Shigei","1/1/1994"
"Pasqua","Magalhaes","1/1/1994"
"Aria","Fujisawa","1/1/1994"
"Odinaldo","Setlzner","1/1/1994"
"Moti","Percebois","1/1/1994"
"Danai","Luke","1/1/1994"
"Theirry","Mitchem","1/1/1994"
"Richara","Krupka","1/1/1994"
"Peer","Rissland","1/1/1994"
"Olivera","Puoti","1/1/1994"
"Sreekrishna","Klassen","1/1/1994"
"Torsten","Plumb","1/1/1994"
"Marsja","Lieberherr","1/1/1994"
"Parke","Perry","1/1/1994"
"Renny","Bharadwaj","1/1/1994"
"Atreyi","Gladwell","1/1/1994"
"Jaber","Baig","1/1/1994"
"Monique","Calkin","1/1/1994"
"Alejandra","Antonisse","1/1/1994"
"Hein","Mayerwieser","1/1/1994"
"Maris","Rosis","1/1/1994"
"Angus","Vendrig","1/1/1994"
"Kshitij","Ratzlaff","1/1/1994"
"Kousuke","Ratnaker","1/1/1994"
"Uli","Schrooten","1/1/1994"
"Supot","Luga","1/1/1994"
"Zhiguo","Turnbull","1/1/1995"
"Mabhin","Takkinen","1/1/1995"
"Kazuhiro","Veevers","1/1/1995"
"Saddek","Hofting","1/1/1995"
"DeForest","Ginneken","1/1/1995"
"Torsten","Nicolson","1/1/1995"
"Guther","Templeman","1/1/1995"
"Anoosh","Falby","1/1/1995"
"Dipankar","Markovitch","1/1/1995"
"Gila","Lichtman","1/1/1995"
"Duri","Vendrig","1/1/1995"
"Zeljko","Trystram","1/1/1995"
"Akeno","Bressoud","1/1/1995"
"Vasiliy","Mawatari","1/1/1995"
"Yuqun","Huttel","1/1/1995"
"Kiyomitsu","Shackel","1/1/1995"
"Mohua","Birta","1/1/1995"
"Lunjin","Garnham","1/1/1995"
"Hein","Waeselynck","1/1/1995"
"Youssef","Grabner","1/1/1995"
"Tiina","Bolsens","1/1/1995"
"Tua","Hemaspaandra","1/1/1995"
"Mark","Sinitsyn","1/1/1995"
"Mona","Serre","1/1/1995"
"Ghassan","Garnick","1/1/1995"
"Sreekrishna","Perez","1/1/1995"
"Kousuke","Guardalben","1/1/1995"
"Shuky","Awdeh","1/1/1995"
"Serenella","Peac","1/1/1995"
"Elzbieta","Peres","1/1/1995"
"Yuguang","Porotnikoff","1/1/1995"
"Ingmar","Peyn","1/1/1995"
"Sham","Heinisuo","1/1/1995"
"Eran","Fujisawa","1/1/1995"
"Stein","Covnot","1/1/1995"
"Quingbo","Schusler","1/1/1995"
"Toong","Fadgyas","1/1/1996"
"Ashish","Junot","1/1/1996"
"Gay","Wroclawski","1/1/1996"
"Tsuneo","Honglei","1/1/1996"
"Sachin","Baja","1/1/1996"
"Gaetan","Haldar","1/1/1996"
"Arne","Flasterstein","1/1/1996"
"Taiji","Gammage","1/1/1996"
"Alexius","Straney","1/1/1996"
"Etsuo","Landherr","1/1/1996"
"Shaz","Garnier","1/1/1996"
"Zvonko","Bisiani","1/1/1996"
"Vasilii","Nitta","1/1/1996"
"Mircea","Haraldson","1/1/1996"
"Arie","Adachi","1/1/1996"
"Babette","Speek","1/1/1996"
"Sudharsan","Ducloy","1/1/1996"
"Kellyn","Takanami","1/1/1996"
"Lubomir","Bage","1/1/1996"
"Woody","Farrel","1/1/1996"
"Mansur","Xiaoshan","1/1/1996"
"Moheb","Woycyznski","1/1/1996"
"Billie","Vieri","1/1/1996"
"Seshu","Muniz","1/1/1996"
"Kenton","Pluym","1/1/1996"
"Reinhold","Haddadi","1/1/1996"
"Honesty","Lamba","1/1/1996"
"Douadi","Senzako","1/1/1996"
"Mario","Wegerle","1/1/1996"
"Yongmao","Comte","1/1/1996"
"Marjo","Asrin","1/1/1996"
"Honesty","Przulj","1/1/1996"
"Shigenori","Stifter","1/1/1996"
"Stamatina","Docker","1/1/1996"
"Chaoyi","Homond","1/1/1997"
"Leif","Piveteau","1/1/1997"
"Leah","Sewelson","1/1/1997"
